participant,language,word,translation,knowledge,confidence,response_type,comments
5ca1241...,Spanish,muneca,plums,FALSE,1,wrong,
5ca1241...,Spanish,pato,part,FALSE,1,wrong,
5ca1241...,Spanish,pelota,pillow,FALSE,1,wrong,
5ca1241...,Spanish,pierna,learner,FALSE,1,wrong,
5ca1241...,Spanish,pluma,illuminate,FALSE,1,wrong,
5ca1241...,Spanish,pollo,oil,FALSE,1,wrong,
5ca1241...,Spanish,tenedor,tennis,FALSE,1,wrong,
5ca1241...,Spanish,toro,oh look,FALSE,1,wrong,
5ca1241...,Spanish,bici,difficult,FALSE,2,wrong,
5ca1241...,Spanish,camisa,sister,FALSE,2,wrong,
5ca1241...,Spanish,estrella,australia,FALSE,2,wrong,
5ca1241...,Spanish,moneda,first,FALSE,2,wrong,
5ca1241...,Spanish,patata,potato,FALSE,2,correct,
5ca1241...,Spanish,bocadillo,ocarina,FALSE,2,wrong,
5ca1241...,Spanish,boli,ball,FALSE,2,wrong,
5ca1241...,Spanish,botella,potatoes,FALSE,2,wrong,
5ca1241...,Spanish,camiseta,sweater,FALSE,2,wrong,
5ca1241...,Spanish,cepillo,tapping,FALSE,2,wrong,
5ca1241...,Spanish,cerdo,third,FALSE,2,wrong,
5ca1241...,Spanish,cesta,festival,FALSE,2,wrong,
5ca1241...,Spanish,coche,hot,FALSE,2,wrong,
5ca1241...,Spanish,frambuesa,trumbone,FALSE,2,wrong,
5ca1241...,Spanish,gallina,kayaking,FALSE,2,wrong,
5ca1241...,Spanish,leon,leon,FALSE,2,wrong,
5ca1241...,Spanish,libro,book,FALSE,2,correct,
5ca1241...,Spanish,mariposa,my posture,FALSE,2,wrong,
5ca1241...,Spanish,mesa,mister,FALSE,2,wrong,
5ca1241...,Spanish,ombligo,obligated,FALSE,2,wrong,
5ca1241...,Spanish,osito,also,FALSE,2,wrong,
5ca1241...,Spanish,pez,bed,FALSE,2,wrong,
5ca1241...,Spanish,pinguino,linguine,FALSE,2,wrong,
5ca1241...,Spanish,plato,latte,FALSE,2,wrong,
5ca1241...,Spanish,tambor,tambourine,FALSE,2,wrong,revise
5ca1241...,Spanish,zanahoria,goodbye,FALSE,2,wrong,
5ca1241...,Spanish,boca,pork,FALSE,3,wrong,
5ca1241...,Spanish,brazo,grass,FALSE,3,wrong,
5ca1241...,Spanish,grifo,grief,FALSE,3,wrong,
5ca1241...,Spanish,hormiga,mother,FALSE,3,wrong,
5ca1241...,Spanish,mono,morning,FALSE,3,wrong,
5ca1241...,Spanish,platano,latino,FALSE,3,wrong,
5ca1241...,Spanish,ventana,bandana,FALSE,3,wrong,
5ca1241...,Spanish,bol,ball,FALSE,4,false_friend,
5ca1241...,Spanish,guitarra,guitar,FALSE,4,correct,
5ca1241...,Spanish,tren,train,FALSE,4,correct,
5ca1241...,Spanish,cebra,zebra,FALSE,4,correct,
5ca1241...,Spanish,luna,moon,FALSE,4,correct,
5ca1241...,Spanish,martillo,party,FALSE,4,wrong,
5ca1241...,Spanish,gorro,fat,TRUE,1,wrong,
5ca1241...,Spanish,puerta,because,TRUE,1,wrong,
5ca1241...,Spanish,sol,sun,TRUE,3,correct,
5ca1241...,Spanish,chaqueta,girls,TRUE,3,wrong,
5ca1241...,Spanish,tigre,tiger,TRUE,4,correct,
5ca1241...,Spanish,gato,cat,TRUE,4,correct,
5ca1241...,Spanish,naranja,oranges,TRUE,4,typo,
5ca1241...,Spanish,pantalon,trousers,TRUE,4,correct,
5ca1241...,Spanish,chocolate,chocolate,TRUE,5,correct,
5ca1241...,Spanish,perro,but,TRUE,5,wrong,
5ca1241...,Spanish,tomate,tomatoes,TRUE,5,typo,
5ca1241...,Spanish,leche,water,TRUE,6,wrong,
5ca1241...,Spanish,sandwich,sandwich,TRUE,6,correct,
5ca1241...,Spanish,ola,hello,TRUE,7,false_friend,
5cdfa1b...,Catalan,abella,house,FALSE,0,wrong,
5cdfa1b...,Catalan,aigua,terguen,FALSE,0,wrong,
5cdfa1b...,Catalan,amanida,orange,FALSE,0,wrong,
5cdfa1b...,Catalan,ampolla,champagne,FALSE,0,wrong,
5cdfa1b...,Catalan,berenar,grenade,FALSE,0,wrong,
5cdfa1b...,Catalan,caixa,carwash,FALSE,0,wrong,
5cdfa1b...,Catalan,cama,car,FALSE,0,wrong,
5cdfa1b...,Catalan,cavall,gall,FALSE,0,wrong,
5cdfa1b...,Catalan,cirera,car,FALSE,0,wrong,
5cdfa1b...,Catalan,dit,deep,FALSE,0,wrong,
5cdfa1b...,Catalan,entrepa,under bridge,FALSE,0,wrong,
5cdfa1b...,Catalan,estruc,strudel,FALSE,0,wrong,
5cdfa1b...,Catalan,forquilla,fork,FALSE,0,correct,
5cdfa1b...,Catalan,fulla,food,FALSE,0,wrong,
5cdfa1b...,Catalan,galeta,letter,FALSE,0,wrong,
5cdfa1b...,Catalan,gerd,gel,FALSE,0,wrong,
5cdfa1b...,Catalan,globus,global,FALSE,0,wrong,
5cdfa1b...,Catalan,guitarra,guitar,FALSE,0,correct,
5cdfa1b...,Catalan,lleo,lie down,FALSE,0,wrong,
5cdfa1b...,Catalan,lloro,yahoo,FALSE,0,wrong,
5cdfa1b...,Catalan,mico,mickel,FALSE,0,wrong,
5cdfa1b...,Catalan,moto,mushroom,FALSE,0,wrong,
5cdfa1b...,Catalan,mussol,shawl,FALSE,0,wrong,
5cdfa1b...,Catalan,onada,banana,FALSE,0,wrong,
5cdfa1b...,Catalan,orella,broom,FALSE,0,wrong,
5cdfa1b...,Catalan,pa,car,FALSE,0,wrong,
5cdfa1b...,Catalan,planta,planter,FALSE,0,wrong,
5cdfa1b...,Catalan,pollastre,wine,FALSE,0,wrong,
5cdfa1b...,Catalan,raspall,respite,FALSE,0,wrong,
5cdfa1b...,Catalan,samarreta,sunshine,FALSE,0,wrong,
5cdfa1b...,Catalan,sol,song,FALSE,0,wrong,
5cdfa1b...,Catalan,tigre,tiger,FALSE,0,correct,
5cdfa1b...,Catalan,tisores,dinosaur,FALSE,0,wrong,
5cdfa1b...,Catalan,tobogan,touran,FALSE,0,wrong,
5cdfa1b...,Catalan,tren,zebra,FALSE,0,wrong,
5cdfa1b...,Catalan,ull,cool,FALSE,0,wrong,
5cdfa1b...,Catalan,ungla,window,FALSE,0,wrong,
5cdfa1b...,Catalan,vaixell,shell,FALSE,0,wrong,
5cdfa1b...,Catalan,arbre,umbrella,FALSE,1,wrong,
5cdfa1b...,Catalan,cuc,cook,FALSE,1,false_friend,
5cdfa1b...,Catalan,esponja,sponge,FALSE,1,correct,
5cdfa1b...,Catalan,estrella,stray,FALSE,1,wrong,
5cdfa1b...,Catalan,formiga,pasta,FALSE,1,wrong,
5cdfa1b...,Catalan,galleda,leather,FALSE,1,wrong,
5cdfa1b...,Catalan,mirall,mirror,FALSE,1,correct,
5cdfa1b...,Catalan,moneda,leather,FALSE,1,wrong,
5cdfa1b...,Catalan,papallona,father,FALSE,1,wrong,
5cdfa1b...,Catalan,poma,parma ham,FALSE,1,wrong,
5cdfa1b...,Catalan,porta,bartender,FALSE,1,wrong,
5cdfa1b...,Catalan,bici,busy,FALSE,2,wrong,
5cdfa1b...,Catalan,camisa,camilla,FALSE,2,wrong,
5cdfa1b...,Catalan,casa,karma,FALSE,2,wrong,
5cdfa1b...,Catalan,gat,cart,FALSE,2,wrong,
5cdfa1b...,Catalan,gorra,goat,FALSE,2,wrong,
5cdfa1b...,Catalan,ma,mark,FALSE,2,wrong,
5cdfa1b...,Catalan,pernil,vanilla,FALSE,2,wrong,
5cdfa1b...,Catalan,taronja,orange,FALSE,2,correct,
5cdfa1b...,Catalan,bolet,roulette,FALSE,3,wrong,
5cdfa1b...,Catalan,ovella,weather,FALSE,3,wrong,
5cdfa1b...,Catalan,patata,potato,FALSE,3,correct,
5cdfa1b...,Catalan,boca,book,FALSE,4,wrong,
5cdfa1b...,Catalan,bolquer,bouquet,FALSE,4,wrong,
5cdfa1b...,Catalan,colom,perfume,FALSE,4,wrong,
5cdfa1b...,Catalan,got,guard,FALSE,4,wrong,
5cdfa1b...,Catalan,porc,park,FALSE,4,wrong,
5cdfa1b...,Catalan,aixeta,bruschetta,FALSE,5,wrong,
5cdfa1b...,Catalan,bibero,beaver,FALSE,5,wrong,
5cdfa1b...,Catalan,nas,nasty,FALSE,5,wrong,
5cdfa1b...,Catalan,peu,bell,FALSE,5,wrong,
5cdfa1b...,Catalan,ploma,flower,FALSE,5,wrong,
5cdfa1b...,Catalan,tomaquet,tomato,FALSE,5,correct,
5cdfa1b...,Catalan,ulleres,windowbox,FALSE,5,wrong,
5cdfa1b...,Catalan,bol,ball,FALSE,6,false_friend,
5cdfa1b...,Catalan,boto,button,FALSE,6,correct,
5cdfa1b...,Catalan,cotxe,coach,FALSE,6,wrong,
5cdfa1b...,Catalan,flor,floor,FALSE,6,false_friend,
5cdfa1b...,Catalan,jaqueta,jacket,FALSE,6,correct,
5cdfa1b...,Catalan,llibre,zebra,FALSE,6,wrong,
5cdfa1b...,Catalan,lluna,star,FALSE,6,wrong,
5cdfa1b...,Catalan,plat,blood,FALSE,6,wrong,
5cdfa1b...,Catalan,bou,bow,FALSE,7,false_friend,
5cdfa1b...,Catalan,corona,coronavirus,FALSE,7,wrong,revise
5cdfa1b...,Catalan,girafa,giraffe,FALSE,7,correct,
5cdfa1b...,Catalan,pingui,penguin,FALSE,7,correct,
5cdfa1b...,Catalan,xocolata,chocolate,FALSE,7,correct,
5cdfa1b...,Catalan,zebra,zebra,FALSE,7,correct,
5cffe99...,Spanish,esponja,newspaper,FALSE,0,wrong,
5cffe99...,Spanish,cuchara,food,FALSE,0,wrong,
5cffe99...,Spanish,pie,hey,FALSE,0,wrong,
5cffe99...,Spanish,bici,clever,FALSE,1,wrong,
5cffe99...,Spanish,camisa,t shirt,FALSE,1,wrong,revise
5cffe99...,Spanish,moto,motor,FALSE,1,false_friend,
5cffe99...,Spanish,tren,very,FALSE,1,wrong,
5cffe99...,Spanish,arbol,horrible,FALSE,1,wrong,
5cffe99...,Spanish,avestruz,stressful,FALSE,1,wrong,
5cffe99...,Spanish,barco,barcode,FALSE,1,false_friend,
5cffe99...,Spanish,bocadillo,pork,FALSE,1,wrong,
5cffe99...,Spanish,brazo,breathe,FALSE,1,wrong,
5cffe99...,Spanish,calcetin,cancer,FALSE,1,wrong,
5cffe99...,Spanish,camiseta,t shirt,FALSE,1,correct,
5cffe99...,Spanish,caracol,chicken,FALSE,1,wrong,
5cffe99...,Spanish,cebra,silver,FALSE,1,wrong,
5cffe99...,Spanish,cesta,party,FALSE,1,wrong,
5cffe99...,Spanish,chaqueta,hat,FALSE,1,wrong,
5cffe99...,Spanish,cubo,later,FALSE,1,wrong,
5cffe99...,Spanish,dedo,dead,FALSE,1,wrong,
5cffe99...,Spanish,gafas,boss,FALSE,1,wrong,
5cffe99...,Spanish,galleta,happy,FALSE,1,wrong,
5cffe99...,Spanish,gallina,car,FALSE,1,wrong,
5cffe99...,Spanish,gorrion,friend,FALSE,1,wrong,
