"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5eb54aa...","boca","sandwich",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","boca","burka",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5ebef0e...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","boca","van",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","boca","house",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","bocadillo","pork",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","bocadillo","library",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","bocadillo","windmill",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","bocadillo","bocadillo",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","bocadillo","small",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","bocadillo",NA,FALSE,"blank","Valid",FALSE,TRUE
"spa-ENG","5e2c9ac...","bocadillo","story",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","bocadillo","books",FALSE,"wrong","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","bocadillo","bookstore",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","bocadillo","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","bocadillo","ship",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","bocadillo","na",FALSE,"other","Insufficient trials",FALSE,FALSE
"spa-ENG","5e6571b...","bocadillo","little",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","bocadillo","library",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","bocadillo","library",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","bocadillo","bookshelf",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e95bef...","bocadillo","burrito",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","bocadillo","burger",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","bocadillo","fast",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","bocadillo",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","bocadillo","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","bocadillo","beef stock",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","bocadillo","bocaleio",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","bocadillo",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eb450d...","bocadillo","video",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","bocadillo","sandwich",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","bocadillo","pork",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","bocadillo","bucarigo",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5ebef0e...","bocadillo","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","bocadillo","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","bocadillo","brilliant",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","bocadillo","trampoline",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","bocadillo","panic",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","bocadillo","books",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","bocadillo","pineapple",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","bol","bol",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","bol","bowl",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","bol","ball",FALSE,"false_friend","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","bol","bowl",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5e64212...","bol","ball",FALSE,"false_friend","Insufficient trials",TRUE,FALSE
"spa-ENG","5e6571b...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","bol","bull",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e8f390...","bol","ball",FALSE,"false_friend","Insufficient trials",TRUE,FALSE
"spa-ENG","5e95bef...","bol","bowl",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5e96292...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","bol",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","bol","ball",FALSE,"false_friend","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","bol","ball",FALSE,"false_friend","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb450d...","bol","bowl",TRUE,"correct",NA,TRUE,NA
"spa-ENG","5eb54aa...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","bol","ball",FALSE,"false_friend","Insufficient trials",TRUE,FALSE
"spa-ENG","5ebef0e...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","bol","football",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","bol","ball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","bol","bowl",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","bol","ball",FALSE,"false_friend","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","boli","ball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","boli","ball",FALSE,"wrong","Valid",TRUE,TRUE
