"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5eb9b01...","bici","beef",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","bici","beefy",false,"wrong","Insufficient trials",true,false
"spa-ENG","5ebef0e...","bici","beach",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","bici","delightful",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","bici","massive",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","bici","bison",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","bici","beefy",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","bici","bicycle",true,"correct","Valid",true,true
"spa-ENG","5ee7665...","bici","baby",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","boca","ball",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","boca","beer",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","boca","coffee",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","boca","boca",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","boca","blue",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","boca","book",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","boca","scooter",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","boca","book",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","boca","good",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e95bef...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","boca","boy",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","boca","wolf",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eacad0...","boca","barred",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","boca","poca",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","boca","book",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb450d...","boca","book",false,"wrong",,true,
"spa-ENG","5eb54aa...","boca","sandwich",false,"wrong","Valid",true,true
"spa-ENG","5eb9b01...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","boca","burka",false,"wrong","Insufficient trials",true,false
"spa-ENG","5ebef0e...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","boca","van",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","boca","house",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","boca","book",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","bocadillo","pork",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","bocadillo","library",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","bocadillo","windmill",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","bocadillo","bocadillo",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","bocadillo","small",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","bocadillo",,false,"blank","Valid",false,true
"spa-ENG","5e2c9ac...","bocadillo","story",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","bocadillo","books",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","bocadillo","bookstore",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","bocadillo","book",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","bocadillo","ship",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","bocadillo","na",false,"other","Insufficient trials",false,false
"spa-ENG","5e6571b...","bocadillo","little",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","bocadillo","library",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","bocadillo","library",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","bocadillo","bookshelf",false,"wrong","Valid",true,true
"spa-ENG","5e95bef...","bocadillo","burrito",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","bocadillo","burger",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","bocadillo","fast",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","bocadillo",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","bocadillo","book",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","bocadillo","beef stock",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","bocadillo","bocaleio",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","bocadillo",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eb450d...","bocadillo","video",false,"wrong",,true,
"spa-ENG","5eb54aa...","bocadillo","sandwich",true,"correct","Valid",true,true
"spa-ENG","5eb9b01...","bocadillo","pork",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","bocadillo","bucarigo",false,"language","Insufficient trials",false,false
"spa-ENG","5ebef0e...","bocadillo","book",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","bocadillo","book",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","bocadillo","brilliant",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","bocadillo","trampoline",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","bocadillo","panic",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","bocadillo","books",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","bocadillo","pineapple",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5b6f4c6...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5d687a7...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5d6c21b...","bol","bol",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5dd6934...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e2c9ac...","bol","bowl",true,"correct","Valid",true,true
"spa-ENG","5e32a99...","bol","ball",false,"false_friend","Language impairment",true,false
"spa-ENG","5e3878b...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e52fa4...","bol","ball",false,"false_friend","Valid",true,true
